"V1" "V2" "V3" "V4"
"157" "156" 1 "" ""
"158" "157" 1 "" ""
"159" "158" 1 "Vice" "President"
"161" "160" 1 "Vice" "President"
"162" "161" 1 "Employee" ""
"164" "163" 1 "Employee" ""
"166" "165" 1 "" ""
"167" "166" 1 "N/A" ""
"168" "167" 1 "Employee" ""
"170" "169" 1 "N/A" ""
"171" "170" 1 "N/A" ""
"173" "172" 1 "Employee" ""
"174" "173" 1 "Managing" "Director"
"175" "174" 1 "Vice" "President"
"176" "175" 1 "Employee" ""
"177" "176" 1 "N/A" ""
"178" "177" 1 "Trader" ""
"181" "180" 1 "N/A" ""
"184" "183" 1 "Employee" ""
"185" "184" 1 "N/A" ""
"6" "5" 2 "Vice" "President"
"7" "6" 2 "President" "Enron"
"10" "9" 2 "N/A" ""
"13" "12" 2 "" ""
"14" "13" 2 "Vice" "President"
"25" "24" 2 "Vice" "President"
"27" "26" 2 "N/A" ""
"29" "28" 2 "CEO" "Enron"
"30" "29" 2 "N/A" ""
"33" "32" 2 "Vice" "President"
"35" "34" 2 "Vice" "President"
"36" "35" 2 "Vice" "President"
"39" "38" 2 "Managing" "Director"
"44" "43" 2 "Employee" ""
"48" "47" 2 "Vice" "President"
"53" "52" 2 "President" ""
"55" "54" 2 "Vice" "President"
"58" "57" 2 "Vice" "President"
"59" "58" 2 "In" "House"
"60" "59" 2 "Vice" "President"
"65" "64" 2 "Employee" "Government"
"68" "67" 2 "President" "Enron"
"69" "68" 2 "CEO" ""
"71" "70" 2 "" ""
"72" "71" 2 "Trader" ""
"73" "72" 2 "Manager" "Risk"
"74" "73" 2 "Manager" "Risk"
"75" "74" 2 "Vice" "President"
"76" "75" 2 "" ""
"80" "79" 2 "Vice" "President"
"82" "81" 2 "" ""
"84" "83" 2 "CEO" "Enron"
"96" "95" 2 "CEO" ""
"97" "96" 2 "Director" "Pipeline"
"98" "97" 2 "Vice" "President"
"100" "99" 2 "N/A" ""
"102" "101" 2 "Employee" "Senior"
"105" "104" 2 "Employee" ""
"107" "106" 2 "" ""
"109" "108" 2 "President" "Enron"
"110" "109" 2 "N/A" ""
"111" "110" 2 "" ""
"113" "112" 2 "Managing" "Director"
"114" "113" 2 "Managing" "Director"
"115" "114" 2 "" ""
"119" "118" 2 "Employee" ""
"124" "123" 2 "Employee" "Administrative"
"125" "124" 2 "N/A" ""
"126" "125" 2 "Employee" "Administrative"
"129" "128" 2 "Director" ""
"130" "129" 2 "" ""
"137" "136" 2 "" ""
"142" "141" 2 "Manager" ""
"146" "145" 2 "Employee" ""
"147" "146" 2 "Vice" "President"
"148" "147" 2 "Vice" "President"
"149" "148" 2 "Manager" "Chief"
"152" "151" 2 "" ""
"153" "152" 2 "Vice" "President"
"155" "154" 2 "Employee" "Chief"
"156" "155" 2 "Director" ""
"160" "159" 2 "Vice" "President"
"163" "162" 2 "President" "Enron"
"165" "164" 2 "Vice" "President"
"169" "168" 2 "N/A" ""
"172" "171" 2 "Manager" "Regulatory"
"179" "178" 2 "Employee" ""
"180" "179" 2 "Manager" "Risk"
"182" "181" 2 "N/A" ""
"183" "182" 2 "CEO" "Enron"
"1" "x" NA "" ""
